LEV,CD,DSCR_GR
4,01513500,Παλαιοκαρυάς
4,01513600,Παμφίου
4,01513700,Παναιτωλίου
4,01513800,Παντανάσσης
4,01513900,Πεντακόρφου
4,01514000,Πετροχωρίου
4,01514100,Ποταμούλας
4,01514300,Σαργιάδας
4,01514400,Σιδήρων
4,01514500,Σιταραλώνων
4,01514600,Σιτομένων
4,01514700,Σκουτεράς
4,01514800,Σκουτεσιάδας
4,01514900,Σπαρτιά
4,01515000,Σπολαίτης
4,01515100,Χαλικίου Αμβρακίας
4,01515200,Χούνης
4,01515400,Ψηλοβράχου
4,03100100,Θηβαίων
4,03100200,Λεύκτρων
4,03100300,Πλαταιών
4,03100400,Βαγίων
4,03100500,Θεσπιών
4,03100600,Οινοφύτων
4,03100700,Σχηματαρίου
4,03110100,Αγίου Θωμά
4,03110200,Ακραιφνίου
4,03110300,Αμπελοχωρίου
4,03110400,'Aρματος
4,03110500,'Aσκρης
4,03110600,Ασωπίας
4,03110800,Δάφνης
4,03110900,Δομβραίνης
4,03111000,Ελεώνος
4,03111100,Ελλοπίας
4,03111300,Θίσβης
4,03111400,Καλλιθέας
4,03111500,Καπαρελλίου
4,03111600,Κάστρου
4,03111700,Κλειδίου
4,03111800,Κοκκίνου
4,03111900,Λεονταρίου
4,03112000,Λουτουφίου
4,03112100,Μαυρομματίου
4,03112200,Μελισσοχωρίου
4,03112300,Μουρικίου
4,03112400,Νεοχωρακίου
4,03112500,Νεοχωρίου Θεσπιών
4,03112600,Ξηρονομής
4,03112800,Προδρόμου
4,03112900,Πύλης
4,03113000,Σκούρτων
4,03113100,Στεφάνης
4,03113300,Τανάγρας
4,03113400,Υπάτου
4,03200100,Αλιάρτου
4,03200200,Αραχόβης
4,03200300,Διστόμου
4,03200400,Λεβαδέων
4,03200500,Ορχομενού
4,03200600,Χαιρωνείας
4,03210100,Αγίας 'Aννας
4,03210200,Αγίας Τριάδος
4,03210300,Αγίου Βλασίου
4,03210400,Αγίου Γεωργίου
4,03210500,Αγίου Δημητρίου
4,03210600,Αγίου Σπυρίδωνος
4,03210700,Ακοντίου
4,03210800,Αλαλκομενών
4,03210900,Ανθοχωρίου
4,03211000,Αντικύρας
4,03211100,Βασιλικών
4,03211200,Δαυλείας
4,03211300,Διονύσου
4,03211400,Ευαγγελιστρίας
4,03211500,Θουρίου
4,03211600,Καρυάς
4,03211700,Κορωνείας
4,03211800,Κυριακίου
4,03211900,Λαφυστίου
4,03212000,Λουτσίου
4,03212100,Μαυρονερίου
4,03212200,Παρορίου
4,03212300,Παύλου
4,03212400,Πέτρας
4,03212500,Προσηλίου
4,03212600,Προφήτου Ηλία
4,03212700,Πύργου
4,03212800,Ρωμαιίκου
4,03212900,Στειρίου
4,03213000,Σωληναρίου
4,03213100,Υψηλάντου
4,04100100,Ιστιαίας
4,04100200,Λουτρών Αιδηψού
4,04110100,Αβγαριάς
4,04110200,Αγδινών
4,04110300,Αγίου
4,04110400,Αγριοβοτάνου
4,04110500,Αρτεμισίου
4,04110600,Ασμηνίου
4,04110700,Βασιλικών
4,04110800,Βουτά
4,04110900,Γαλατσάδων
4,04111000,Γαλατσώνας
4,04111100,Γερακιούς
4,04111200,Γιάλτρων
